,activity_rate,mean_norm_activation,cv,top_smiles
0,0.001,0.27587843,1.1104233264923096,"['Nc1ncc(Br)c(Cl)c1Br', 'O=C1NC(O)c2cc(Br)cc(Br)c2O1', 'Brc1ccc(Br)c2nccnc12', 'Nc1nc(Oc2ccccc2)c(Br)c(=O)[nH]1', 'O=C(Nc1c[nH]cc(Br)c1=O)c1ccc(F)c(F)c1F', 'O=C(NCc1cc(F)ccc1Br)NCC1CCC1', 'Cc1cnc(NCc2ccco2)c(Br)c1', 'O=C(NCC1CC1)c1ccc(F)cc1Br', 'O=C(CCCNC(=O)C1CC1)Nc1ccc(Br)c(F)c1', 'C=CCNC(=O)CCc1ccc(Br)cc1']"
1,1e-04,0.0,0.0,[]
2,1e-04,0.0,0.0,[]
3,0.0015,0.32465178,0.9152272939682007,"['Cc1cc(CN2C(=O)c3ccccc3S2(=O)=O)no1', 'Cc1ccccc1OCCCN1C(=O)c2ccccc2S1(=O)=O', 'NC(=O)CCN1C(=O)c2cc(N)ccc2S1(=O)=O', 'C=CCN1C(=O)C2(NC(=O)c3c(C)cccc3N2)c2ccccc21', 'Cc1n[nH]c(C2CN(C(=O)CN3Cc4ccccc4C3=O)CCO2)n1', 'CN(Cc1ccco1)C(=O)CN1C(=O)C(C)(C)c2ccccc21', 'CCC(c1nc(C(C)C)no1)N1Cc2ccccc2C1=O', 'Cc1ccc(S(=O)(=O)N2C(=O)C(=O)c3cc(C)ccc32)cc1', 'CCC(C)NC(=O)C1c2ccccc2C(=O)N1Cc1ccccc1', 'CC1Cc2ccccc2N1C(=O)C1Cc2ccccc2C(=O)O1']"
4,1e-04,0.0,0.0,[]
5,0.0077,0.18631007,0.9742449522018433,"['O=C(C=c1[nH]c(=O)c(=Cc2cccnc2)s1)c1ccco1', 'Cn1cccc1C=c1sc2nc3ccccc3n2c1=O', 'Cc1nc2sc(=Cc3cccc(Cl)c3Cl)c(=O)n2n1', 'Cc1nc2sc(=Cc3ccc(Br)cc3)c(=O)n2n1', 'C(=Cc1nn2c(-c3ccncc3)nnc2s1)c1cccs1', 'CCn1c(O)c(C=C2C=Nc3ccccc32)sc1=O', 'COc1cc(C=CC2NCCc3cc(F)ccc32)ccc1O', 'CC1COCCN1CC1=Cc2cc(Cl)ccc2OC1', 'CCOC(=O)C1=C(C)N(CCOC)C(=O)NC1c1cccc(F)c1', 'COC(=O)C1=C(C)N(C2CC2)C(=O)NC1c1ccc(F)cc1F']"
6,0.0169,0.5283724,0.4261355698108673,"['CC(Nc1c(F)cc(C#N)cc1F)c1ccccn1', 'CC(NCc1ccncc1)C(O)c1ccc(F)c(F)c1', 'CC(NCc1c(F)cccc1Cl)c1nnc2ccccn12', 'Cc1[nH]c(NC(=O)CSc2nccn2C)c(C#N)c1C', 'c1n[nH]c(SCc2nnc3n2CCCCC3)n1', 'Cc1[nH]c(SCC(=O)N2CCNC(=O)C2)nc1Cc1ccccc1', 'c1c[nH]c(-c2nccn2-c2ccc3ncsc3c2)n1', 'Cc1[nH]ncc1CCCNC(=O)NCC1CCCO1', 'CC(N)(C(=O)Nc1ccccc1Cl)c1ccccc1', 'Cc1[nH]c(NC(=O)CSc2nc(N)cc(=O)[nH]2)c(C#N)c1C']"
7,1e-04,0.0,0.0,[]
8,0.001,0.27704957,1.0106321573257446,"['COc1ccc2c(c1)OCC(Cc1cnc(-n3cnnc3)c(C)c1)C2', 'COc1ccc2c(c1)CCc1c(C(=O)N3CCCC3)noc1-2', 'Cc1cnc2n(c1=O)CC(C(=O)Nc1nccs1)CS2', 'COc1cccc2c1OCC(NC(=O)c1c(C)cc(C)[nH]c1=O)C2', 'Cc1ccc2c(c1)NC(=O)C(C)(C(=O)Nc1cc(C)nn1C(C)C)O2', 'CC(=O)Nc1ccc2c(c1)CC(C(=O)NC1CCCC1)CO2', 'COc1ccc2c(c1)CC(NCc1cccc(OCC(N)=O)c1)CC2', 'Cc1ccc2c(c1)C(O)(CC(=O)c1cccs1)C(=O)N2', 'Nc1cccn2cc(-c3ccc4c(c3)OCO4)nc12', 'CCC(C(=O)OCC(=O)Nc1ccc(F)cc1)c1ccccc1']"
9,1e-04,0.0,0.0,[]
